Input1	Input3	Output
-0.301384452	-0.575285993	-0.194338968
-0.450479233	-0.59043942	-0.279790425
-0.597444089	0.133002624	-0.38486647
-0.542066028	0.172188345	-0.342195734
-0.312034079	-0.678690438	-0.199909791
-0.141640043	-0.37673453	-0.118431367
-0.418530351	-0.597302856	-0.25999375
-0.41001065	-0.156853386	-0.254865268
-0.382321619	-0.871811712	0.32572819
-0.561235357	-0.526481026	0.147674883
-0.488817891	-0.610451356	0.225705489
-0.550585729	-0.738211755	0.159754744
-0.469648562	-0.769513514	0.244882632
-0.375931842	-0.715522057	0.33126723
-0.324813632	-0.842767602	0.373960154
-0.552715655	-0.121528459	0.157356686
-0.623003195	-0.868550337	0.072797784
-0.36315229	-0.657696015	0.342205846
-0.478168264	-0.712296819	0.236429235
-0.422790202	-0.661686678	0.28950809
-0.618743344	-0.474124902	0.078248546
-0.429179979	-0.139914018	0.283600158
-0.241746539	0.078068456	-0.164410519
-0.239616613	-0.772548158	-0.16337925
-0.145899894	-0.560464338	-0.120290971
-0.38658147	-0.818434922	-0.241069856
-0.284345048	-0.169377621	-0.185573208
-0.286474973	-0.623569268	-0.186659198
-0.235356763	-0.146936159	-0.161324106
-0.510117146	-0.355016232	-0.31938102
-0.620873269	-0.576085904	-0.404281711
-0.113951012	-0.503444006	-0.106536053
-0.420660277	-0.560890958	-0.261285501
-0.514376997	-0.605383901	-0.322353775
-0.371671991	-0.53532897	-0.232516238
-0.463258786	-0.485661998	-0.287972031
-0.654952077	-0.618807454	-0.434191679
-0.329073482	-0.527686874	-0.208976134
-0.329073482	-0.342750468	-0.208976134
-0.505857295	-0.473568879	-0.316428725
-0.412140575	-0.376011924	-0.256141657
-0.550585729	-0.033413153	-0.348490351
-0.395101171	-0.367689534	-0.246035239
-0.412140575	-0.557634763	-0.256141657
-0.350372737	-0.148019703	-0.220584944
0.567625133	-0.565124688	0.859833711
0.337593184	-0.626612664	0.764898406
0.19914803	-0.176359796	0.700326362
0.708200213	-0.758375532	0.911730583
0.399361022	-0.797080261	0.79177197
0.465388711	0.443371586	0.81932896
0.62513312	-0.397284198	0.881563215
0.36315229	0.276432012	0.776152638
0.214057508	-0.408020957	0.707594592
-0.520766773	-0.613924219	0.192429645
0.205537806	-0.683369988	0.011168763
-0.03514377	-0.508423468	-0.074376476
-0.043663472	-0.052128634	-0.077739547
-0.037273695	-0.526058522	-0.075214783
-0.207667732	-0.415043497	-0.14819994
0.233226837	-0.197819205	0.020003257
-0.446219382	-0.676527897	-0.277097518
-0.29286475	-0.495936276	-0.189933736
-0.584664537	-0.141397713	-0.374635705
-0.595314164	-0.472957296	-0.383144295
0.299254526	-0.513672142	0.040366788
0.103301384	-0.77198203	0.651567322
0.288604899	-0.651443001	0.742771294
0.088391906	-0.631798978	0.643644648
0.007454739	-0.750893351	0.598874309
0.618743344	-0.760493435	0.879184104
0.416400426	-0.713392164	0.798995243
0.458998935	-0.731461175	0.816712273
0.43343983	-0.705085071	0.806139687
0.267305644	-0.71288511	0.73291236
-0.007454739	-0.663149693	0.590281612
0.028753994	-0.56521054	0.610956706
0.499467519	-0.759271402	0.833110738
0.214057508	-0.725444387	0.707594592
0.250266241	-0.715893312	0.724916806
0.207667732	-0.743581984	0.704489524
-0.211927583	-0.688348162	0.459363342
0.107561235	-0.689529363	0.65381341
0.275825346	-0.769572618	0.736873782
0.444089457	-0.640216128	0.810565697
0.039403621	-0.510310556	0.6169151
-0.005324814	-0.76142155	0.591516085
-0.209797657	-0.819089987	0.46087184
0.037273695	-0.719566459	0.615727762
0.079872204	-0.532515196	0.639073896
0.348242812	-0.449962518	0.769611212
0.162939297	-0.431156115	0.68233108
-0.141640043	-0.437020721	0.507388334
-0.101171459	-0.192718584	0.533515122
0.069222577	-0.389388143	0.633315117
-0.218317359	-0.564943262	0.454816787
-0.113951012	-0.58820353	0.525377042
0.173588924	-0.621145541	0.687675423
-0.118210863	-0.868242055	0.522641632
-0.29286475	-0.717354658	0.399288052
-0.486687966	-0.758425462	0.227864441
-0.476038339	-0.75675229	0.238552914
-0.463258786	-0.656949942	0.251151306
-0.469648562	-0.748204299	0.244882632
-0.561235357	-0.77152074	0.147674883
-0.565495208	-0.577366819	0.142779293
-0.48029819	-0.515159758	0.234298595
-0.103301384	-0.664600873	-0.102047116
0.08200213	0.201648863	-0.030616267
0.846645367	-0.554406853	0.180003203
0.448349308	-0.361094263	0.083090571
0.552715655	-0.613979853	0.110662762
1	-0.063566793	0.212194295
0.446219382	-0.407940525	0.082509104
0.444089457	0.045612412	0.081926853
0.143769968	-0.284558261	-0.009217234
0.584664537	-0.59846416	0.118762596
0.420660277	-0.315207118	0.075469658
0.748668797	-0.284638883	0.15810458
0.574014909	-0.377449466	0.116079513
0.661341853	-0.773838227	0.137603426
0.33972311	-0.898413644	0.052388163
0.793397231	-0.69411812	0.168239769
0.224707135	-0.433110853	0.017304194
0.235356763	-0.225852891	0.020675389
0.650692226	-0.203038951	0.135035324
0.439829606	0.310570982	0.080759987
0.74227902	-0.449295995	0.156637073
-0.064962726	-0.436335342	-0.086264044
-0.499467519	-0.504835551	-0.31203803
-0.267305644	-0.713675835	-0.176982686
-0.710330138	-0.743712337	-0.487745569
-0.401490948	-0.409527272	-0.249797324
0.041533546	-0.69807271	-0.045235925
0.094781683	-0.202350443	-0.026100792
-0.092651757	-0.22557098	-0.097604536
0.08200213	-0.48048897	0.640219585
0.384451544	-0.65950062	0.785385555
0.435569755	-0.785163183	0.807027286
0.322683706	-0.799851759	0.75824293
0.974440895	-0.660917426	1.000012475
-0.235356763	-0.827328335	0.442535264
-0.10543131	-0.812695494	0.530813692
0.254526092	-0.914729646	0.726924876
-0.148029819	-0.877475057	0.503165681
0.375931842	-0.743748389	0.781708003
0.039403621	-0.694797088	0.6169151
0.079872204	-0.651366822	0.639073896
0.103301384	-0.643569679	0.651567322
0.22257721	-0.788814787	0.711711879
-0.045793397	-0.764486908	0.567652383
-0.005324814	-0.896888898	0.591516085
0.201277955	-0.386417931	0.70136964
-0.007454739	-0.604232845	0.590281612
-0.224707135	-0.147008715	0.450238295
0.307774228	-0.632568422	0.751519062
0.120340788	-0.637530546	0.660505721
-0.171458999	-0.671709947	0.487444405
-0.084132055	-0.782945971	0.544210362
-0.407880724	-0.379839776	0.303088084
0.216187433	-0.738199779	0.014588117
0.303514377	-0.341961029	0.041648102
0.982960596	-0.770519716	0.20873373
0.701810437	-0.686765861	0.147225168
0.867944622	0.560071616	0.18462028
1.296059638	-0.340921563	0.268278563
0.030883919	-0.82373166	-0.049167164
0.320553781	-0.51461103	0.0467356
0.033013845	-0.660225919	-0.048378039
0.816826411	-0.683539775	0.173455209
0.33972311	-0.571703189	0.052388163
0.139510117	-0.730935686	-0.010659377
0.309904153	-0.050649664	0.043562958
-0.028753994	-0.730821445	-0.071871308
-0.075612354	-0.415134821	-0.090590471
0.003194888	-0.374652892	-0.059559642
-0.288604899	-0.147553138	-0.187747941
-0.427050053	-0.507068482	-0.265184238
-0.571884984	-0.594527153	-0.364643428
-0.333333333	-0.666980057	-0.211272934
-0.448349308	-0.349865682	-0.278441859
-0.007454739	-0.590535796	-0.063624525
-0.033013845	-0.726911221	-0.073539799
-0.801916933	-0.977004904	-0.594332898
-0.791267306	-0.972582489	-0.580484514
-0.787007455	-0.794773613	-0.575068374
-0.693290735	-0.76042455	-0.470542854
-0.74227902	-0.445099635	-0.521991893
-0.814696486	-0.580974162	-0.611565858
-0.8828541	-0.592043605	-0.717457927
-0.818956337	-0.265059313	-0.617468136
-0.831735889	-0.719866682	-0.635680504
-0.853035144	-0.71502828	-0.66787395
-0.729499468	-0.261743316	-0.507962814
-0.735889244	-0.794037993	-0.51491986
-0.902023429	-0.870860879	-0.752672479
-0.795527157	-0.692357732	-0.585970152
-0.821086262	-0.769696491	-0.62045013
-0.825346113	-0.855585496	-0.626477288
-0.850905218	-0.558474157	-0.664543188
-0.810436635	-0.782954425	-0.605743989
-0.895633653	-0.829454901	-0.740608448
-0.876464324	-0.863107884	-0.706337216
-0.801916933	-0.797271715	-0.594332898
-0.755058573	-0.833364608	-0.536496625
-0.810436635	-0.77886733	-0.605743989
-0.867944622	-0.771013982	-0.691946446
-0.52715655	-0.809912747	-0.844902662
-0.693290735	-0.881795603	-0.914041256
-0.599574015	-0.76676134	-0.872321951
-0.493077742	-0.665544991	-0.833129912
-0.691160809	-0.75663741	-0.912996079
-0.450479233	-0.595706048	-0.819275922
-0.597444089	-0.695441524	-0.871462868
-0.610223642	-0.790324924	-0.876670285
-0.714589989	-0.839566126	-0.924786288
-0.546325879	-0.646425461	-0.851823282
-0.369542066	-0.164919308	-0.79520877
-0.6485623	-0.587004893	-0.893105672
-0.593184239	-0.760960543	-0.869755059
-0.550585729	-0.726914431	-0.853392305
-0.414270501	-0.575957639	-0.80817098
-0.605963791	-0.91114117	-0.874920252
-0.580404686	-0.72642747	-0.864712521
-0.746538871	-0.801977263	-0.526772369
-0.799787007	-0.802968937	-0.591527098
-0.844515442	-0.959387217	-0.654703985
-0.829605964	-0.785965939	-0.632590685
-0.7657082	-0.626686306	-0.548971301
-0.833865815	-0.820251259	-0.638792832
-0.808306709	-0.913325562	-0.602862528
-0.714589989	-0.603704042	-0.492156481
-0.833865815	-0.602692327	-0.638792832
-0.776357827	-0.489007905	-0.561820787
-0.850905218	-0.338895287	-0.664543188
-0.793397231	-0.674285829	-0.583218535
-0.816826411	-0.415945746	-0.614506807
-0.78913738	-0.797230276	-0.577767867
-0.767838126	-0.637486993	-0.551510498
-0.750798722	-0.506797089	-0.531606867
-0.701810437	-0.48601711	-0.479057806
-0.727369542	-0.487403913	-0.505668709
-0.825346113	-0.709297814	-0.626477288
-0.776357827	-0.79633652	-0.561820787
-0.784877529	-0.938512097	-0.572385817
-0.778487753	-0.85748629	-0.564437673
