Input2	Input3	Output
0.430462453	-0.473568879	-0.316428725
-0.156726996	-0.376011924	-0.256141657
0.202009318	-0.033413153	-0.348490351
0.020075724	-0.367689534	-0.246035239
0.275288945	-0.557634763	-0.256141657
-0.07085619	-0.148019703	-0.220584944
0.264682896	-0.565124688	0.859833711
0.999999999	-0.626612664	0.764898406
0.286691808	-0.176359796	0.700326362
0.335798492	-0.758375532	0.911730583
0.306523123	-0.797080261	0.79177197
0.812213809	0.443371586	0.81932896
0.557548326	-0.397284198	0.881563215
0.202983332	0.276432012	0.776152638
0.656198535	-0.408020957	0.707594592
0.129563949	-0.613924219	0.192429645
0.087435553	-0.683369988	0.011168763
0.221012773	-0.508423468	-0.074376476
0.348431519	-0.052128634	-0.077739547
0.816404157	-0.526058522	-0.075214783
-0.175902327	-0.415043497	-0.14819994
0.398380838	-0.197819205	0.020003257
-0.185503934	-0.676527897	-0.277097518
0.224982175	-0.495936276	-0.189933736
-0.050793536	-0.141397713	-0.374635705
-0.038671426	-0.472957296	-0.383144295
0.697064987	-0.513672142	0.040366788
0.190515666	-0.77198203	0.651567322
0.500082212	-0.651443001	0.742771294
0.618627323	-0.631798978	0.643644648
0.388106763	-0.750893351	0.598874309
0.851731728	-0.760493435	0.879184104
0.429462244	-0.713392164	0.798995243
0.553326723	-0.731461175	0.816712273
0.403972337	-0.705085071	0.806139687
0.510069868	-0.71288511	0.73291236
0.171403465	-0.663149693	0.590281612
0.388974867	-0.56521054	0.610956706
0.670997978	-0.759271402	0.833110738
0.113946286	-0.725444387	0.707594592
0.454225353	-0.715893312	0.724916806
0.094063237	-0.743581984	0.704489524
0.280774256	-0.688348162	0.459363342
0.606252081	-0.689529363	0.65381341
0.618923759	-0.769572618	0.736873782
0.509974155	-0.640216128	0.810565697
0.269105662	-0.510310556	0.6169151
0.420218017	-0.76142155	0.591516085
0.206362715	-0.819089987	0.46087184
0.421782361	-0.719566459	0.615727762
0.419342919	-0.532515196	0.639073896
0.231279078	-0.449962518	0.769611212
0.641930978	-0.431156115	0.68233108
